   y    u
  0.0000,  0.00000
  0.0078,  -0.00560
  0.0156,  -0.01099
  0.0234,  -0.01621
  0.0312,  -0.02125
  0.0391,  -0.02614
  0.0469,  -0.03088
  0.0547,  -0.03550
  0.0625,  -0.03999
  0.0703,  -0.04437
  0.0781,  -0.04865
  0.0859,  -0.05284
  0.0938,  -0.05695
  0.1016,  -0.06098
  0.1094,  -0.06495
  0.1172,  -0.06885
  0.1250,  -0.07270
  0.1328,  -0.07650
  0.1406,  -0.08025
  0.1484,  -0.08397
  0.1562,  -0.08765
  0.1641,  -0.09130
  0.1719,  -0.09492
  0.1797,  -0.09851
  0.1875,  -0.10208
  0.1953,  -0.10563
  0.2031,  -0.10916
  0.2109,  -0.11267
  0.2188,  -0.11615
  0.2266,  -0.11962
  0.2344,  -0.12306
  0.2422,  -0.12648
  0.2500,  -0.12986
  0.2578,  -0.13322
  0.2656,  -0.13655
  0.2734,  -0.13983
  0.2812,  -0.14308
  0.2891,  -0.14627
  0.2969,  -0.14941
  0.3047,  -0.15249
  0.3125,  -0.15549
  0.3203,  -0.15842
  0.3281,  -0.16127
  0.3359,  -0.16402
  0.3438,  -0.16667
  0.3516,  -0.16920
  0.3594,  -0.17161
  0.3672,  -0.17389
  0.3750,  -0.17602
  0.3828,  -0.17799
  0.3906,  -0.17980
  0.3984,  -0.18142
  0.4062,  -0.18286
  0.4141,  -0.18409
  0.4219,  -0.18511
  0.4297,  -0.18590
  0.4375,  -0.18646
  0.4453,  -0.18677
  0.4531,  -0.18682
  0.4609,  -0.18660
  0.4688,  -0.18611
  0.4766,  -0.18533
  0.4844,  -0.18426
  0.4922,  -0.18288
  0.5000,  -0.18120
  0.5078,  -0.17920
  0.5156,  -0.17689
  0.5234,  -0.17425
  0.5312,  -0.17129
  0.5391,  -0.16800
  0.5469,  -0.16438
  0.5547,  -0.16044
  0.5625,  -0.15616
  0.5703,  -0.15156
  0.5781,  -0.14664
  0.5859,  -0.14140
  0.5938,  -0.13584
  0.6016,  -0.12996
  0.6094,  -0.12379
  0.6172,  -0.11731
  0.6250,  -0.11053
  0.6328,  -0.10346
  0.6406,  -0.09611
  0.6484,  -0.08848
  0.6562,  -0.08057
  0.6641,  -0.07239
  0.6719,  -0.06394
  0.6797,  -0.05522
  0.6875,  -0.04623
  0.6953,  -0.03697
  0.7031,  -0.02744
  0.7109,  -0.01761
  0.7188,  -0.00750
  0.7266,  0.00293
  0.7344,  0.01369
  0.7422,  0.02480
  0.7500,  0.03629
  0.7578,  0.04819
  0.7656,  0.06056
  0.7734,  0.07342
  0.7812,  0.08685
  0.7891,  0.10089
  0.7969,  0.11562
  0.8047,  0.13112
  0.8125,  0.14747
  0.8203,  0.16477
  0.8281,  0.18312
  0.8359,  0.20263
  0.8438,  0.22341
  0.8516,  0.24559
  0.8594,  0.26928
  0.8672,  0.29460
  0.8750,  0.32169
  0.8828,  0.35064
  0.8906,  0.38155
  0.8984,  0.41452
  0.9062,  0.44960
  0.9141,  0.48682
  0.9219,  0.52618
  0.9297,  0.56764
  0.9375,  0.61110
  0.9453,  0.65641
  0.9531,  0.70338
  0.9609,  0.75173
  0.9688,  0.80112
  0.9766,  0.85116
  0.9844,  0.90140
  0.9922,  0.95130
  1.0000,  1.00000
